ID,ABS(Line),Line,E(ML),V(ML),H(ML),D(VML),D(HML),Bet,Result,Outcome
7509,2.5,2.5,115.0,120,-140,5.0,-25.0,visitor,1,120.0
7511,2.5,-2.5,115.0,-145,125,-30.0,10.0,home,1,-100.0
7512,7.0,7.0,265.0,270,-330,5.0,-65.0,visitor,1,270.0
7514,4.0,4.0,178.0,180,-210,2.0,-32.0,visitor,1,180.0
7516,6.5,-6.5,202.0,-290,240,-88.0,38.0,home,1,-100.0
7518,3.0,3.0,141.0,155,-175,14.0,-34.0,visitor,1,155.0
7519,3.0,3.0,141.0,160,-180,19.0,-39.0,visitor,-1,-100.0
7521,6.0,6.0,216.0,220,-270,4.0,-54.0,visitor,1,220.0
7523,12.5,12.5,442.0,525,-750,83.0,-308.0,visitor,-1,-100.0
7528,3.5,-3.5,158.0,-200,170,-42.0,12.0,home,-1,170.0
7529,3.0,-3.0,141.0,-175,155,-34.0,14.0,home,-1,155.0
7530,6.5,6.5,202.0,235,-275,33.0,-73.0,visitor,-1,-100.0
7531,3.0,-3.0,141.0,-170,150,-29.0,9.0,home,1,-100.0
7532,3.0,3.0,141.0,155,-175,14.0,-34.0,visitor,-1,-100.0
7533,6.5,6.5,202.0,250,-300,48.0,-98.0,visitor,-1,-100.0
7537,3.0,-3.0,141.0,-165,145,-24.0,4.0,home,1,-100.0
